"symbol"	"ensemble_ID"	"entrez_ID"	"norm_exp"
"NUDCD3"	"ENSG00000015676"	23386	0.582146574724834
"ISL1"	"ENSG00000016082"	3670	0
"CHDH"	"ENSG00000016391"	55349	0.111082949200793
"IL20RA"	"ENSG00000016402"	53832	0
"CLCA1"	"ENSG00000016490"	1179	0
"CLCA4"	"ENSG00000016602"	22802	0
"GLT8D1"	"ENSG00000016864"	55830	0.508119879721378
"ATP2C1"	"ENSG00000017260"	27032	0.598287325813031
"IGF1"	"ENSG00000017427"	3479	0.128963310306134
"SLC38A5"	"ENSG00000017483"	92745	0.499638172721561
"RALBP1"	"ENSG00000017797"	10928	0.611754309506992
"RUFY3"	"ENSG00000018189"	22902	0.574906425642111
"CNTN1"	"ENSG00000018236"	1272	0
"SLC11A1"	"ENSG00000018280"	6556	0.383618888583709
"WWTR1"	"ENSG00000018408"	25937	0.17606230895277
"AGPS"	"ENSG00000018510"	8540	0.609355752602035
"ATP1A2"	"ENSG00000018625"	477	0
"TTC27"	"ENSG00000018699"	55622	0.489441321988422
"ZNF582"	"ENSG00000018869"	147948	0.334491188921566
"VSIG2"	"ENSG00000019102"	23584	0.0880311544763851
"PHLDB1"	"ENSG00000019144"	102466719	0.352617723523048
"MARCO"	"ENSG00000019169"	8685	0.0880311544763851
"CYP24A1"	"ENSG00000019186"	1591	0
"PRDM11"	"ENSG00000019485"	56981	0.36900956981306
"SYT13"	"ENSG00000019505"	57586	0
"SNAI2"	"ENSG00000019549"	6591	0
"CD74"	"ENSG00000019582"	972	0.87499387426886
"HGF"	"ENSG00000019991"	3082	0.434698044015641
"ZRANB1"	"ENSG00000019995"	54764	0.637210166846005
"NCDN"	"ENSG00000020129"	23154	0.461457401213971
"ZFP64"	"ENSG00000020256"	55734	0.462711408183818
"MNAT1"	"ENSG00000020426"	4331	0.443069890251324
"SAMD4A"	"ENSG00000020577"	23034	0.464312817870319
"RUNX3"	"ENSG00000020633"	864	0.51843930258905
"PLEKHB1"	"ENSG00000021300"	58473	0.330704843139128
"SERPINB1"	"ENSG00000021355"	1992	0.617146969997586
"CYP3A43"	"ENSG00000021461"	64816	0
"SLC7A9"	"ENSG00000021488"	11136	0.16662442380119
"SPAST"	"ENSG00000021574"	6683	0.534879236919709
"NRXN3"	"ENSG00000021645"	9369	0.476925743980756
"OSBPL5"	"ENSG00000021762"	114879	0.480790601673984
"AQR"	"ENSG00000021776"	9716	0.61325102303547
